country;Region;Surface area (km2);Population in thousands (2017);Population density (per km2, 2017);Sex ratio (m per 100 f, 2017);GDP: Gross domestic product (million current US$);GDP growth rate (annual %, const. 2005 prices);GDP per capita (current US$);Economy: Agriculture (% of GVA);Economy: Industry (% of GVA);Economy: Services and other activity (% of GVA);Employment: Agriculture (% of employed);Employment: Industry (% of employed);Employment: Services (% of employed);Unemployment (% of labour force);Labour force participation (female/male pop. %);Agricultural production index (2004-2006=100);Food production index (2004-2006=100);International trade: Exports (million US$);International trade: Imports (million US$);International trade: Balance (million US$);Balance of payments, current account (million US$);Population growth rate (average annual %);Urban population (% of total population);Urban population growth rate (average annual %);Fertility rate, total (live births per woman);Life expectancy at birth (females/males, years);Population age distribution (0-14 / 60+ years, %);International migrant stock (000/% of total pop.);Refugees and others of concern to UNHCR (in thousands);Infant mortality rate (per 1000 live births;Health: Total expenditure (% of GDP);Health: Physicians (per 1000 pop.);Education: Government expenditure (% of GDP);Education: Primary gross enrol. ratio (f/m per 100 pop.);Education: Secondary gross enrol. ratio (f/m per 100 pop.);Education: Tertiary gross enrol. ratio (f/m per 100 pop.);Seats held by women in national parliaments %;Mobile-cellular subscriptions (per 100 inhabitants);Individuals using the Internet (per 100 inhabitants);Threatened species (number);Forested area (% of land area);CO2 emission estimates (million tons/tons per capita);Energy production, primary (Petajoules);Energy supply per capita (Gigajoules);Pop. using improved drinking water (urban/rural, %);Pop. using improved sanitation facilities (urban/rural, %);Net Official Development Assist. received (% of GNI);;
Afghanistan;SouthernAsia;652864;35530;54.4;106.3;20270;-2.4;623.2;44278;44278;53.3;61.6;10.0;44344;44355;19.3/83.6;125;125;1458;3568;-2110;-5121;44230;44403;4.0;44260;63.5/61.0;43.2/4.1;382.4/1.2;1513.1;68.6;44235;0.3;44258;91.1/131.6;39.7/70.7;3.7/13.3;44404;61.6;44263;42;44198;9.8/0.3;63;5;78.2/47.0;45.1/27.0;21.43;;
Albania;SouthernEurope;28748;2930;106.9;101.9;11541;44349;3984.2;44308;26.0;51.7;41.4;44273;40.3;44423;40.2/61.0;134;134;1962;4669;-2707;-1222;-0.1;57.4;44229;44378;79.9/75.6;17.4/19.0;57.6/2.0;44416;44361;44444;44256;44319;111.7/115.5;92.5/98.8;68.1/48.7;44461;106.4;63.3;130;44255;5.7/2.0;84;36;94.9/95.2;95.5/90.2;35096;;
Algeria;NorthernAfrica;2381741;41318;44272;102.0;164779;44411;4154.1;44239;37.3;50.5;44418;34.5;54.7;44297;17.0/70.7;160;161;29992;47091;-17099;-27229;2.0;70.7;44410;3.0;76.5/74.1;29.3/9.4;242.4/0.6;99.8;44404;44234;...;...;112.7/119.5;101.7/98.1;45.1/28.9;31.6;113.0;38.2;135;0.8;145.4/3.7;5900;55;84.3/81.8;89.8/82.2;0.05;;
American Samoa;Polynesia;199;56;278.2;103.6;-99;-99;-99;-99;-99;-99;...;...;...;...;.../...;112;112;-99;-99;-99;-99;-~0.0;87.2;-0.1;44349;77.8/71.1;33.3/9.0;23.2/41.8;-99;44356;-99;-99;-99;-99;-99;-99;-99;...;-99;92;87.9;-99;-99;-99;100.0/100.0;62.5/62.5;-99;;
Andorra;SouthernEurope;468;77;163.8;102.3;2812;0.8;39896.4;0.5;44418;88.6;-99;-99;-99;-99;-99;-99;-99;100;1355;-1255;-99;-1.6;85.1;0.1;44228;-99;14.4/19.0;42.1/59.7;-99;-99;44204;44380;44258;-99;-99;-99;32.1;88.1;96.9;13;34.0;0.5/6.4;1;119;100.0/100.0;100.0/100.0;-99;;
Angola;MiddleAfrica;1246700;29784;44462;96.2;117955;3.0;4714.1;44414;51.2;42.0;44231;37.6;58.2;44353;59.8/77.1;175;176;21011;8790;12221;-10273;44319;44.1;5.0;6.0;63.0/57.4;46.8/4.0;106.8/0.4;45.7;65.4;44258;...;...;100.4/156.9;22.7/35.1;8.2/10.4;38.2;60.8;44298;146;46.5;34.8/1.4;3902;25;75.4/28.2;88.6/22.5;0.42;;
Anguilla;Caribbean;91;15;165.7;97.6;320;44441;21879.6;44257;44392;82.0;...;...;...;...;.../...;-99;-99;2;154;-153;-48;44228;100.0;44228;...;.../...;23.3/7.6;5.5/37.4;~0.0;-99;-99;-99;...;-99;-99;-99;-99;177.9;76.0;52;61.1;0.1/9.8;0;136;94.6/...;97.9/...;-99;;
Antigua and Barbuda;Caribbean;442;102;231.8;92.3;1356;44200;14764.5;44440;44273;79.8;...;...;...;...;.../...;88;88;61;491;-429;-204;44197;44431;-0.9;44198;78.2/73.3;23.9/10.9;28.1/30.6;~0.0;44205;44321;-99;...;94.1/100.0;103.8/101.6;31.1/15.1;44207;137.2;65.2;55;44277;0.5/5.8;-99;84;97.9/97.9;91.4/91.4;0.12;;
Argentina;SouthAmerica;2780400;44271;44243;95.9;632343;44288;14564.5;6.0;44435;66.2;2.0;44432;73.1;44322;48.6/74.4;119;119;57733;55610;2124;-15944;1.0;91.8;1.0;44257;79.8/72.2;24.9/15.4;2086.3/4.8;5.0;44390;44412;44411;44260;109.8/110.2;110.3/103.4;102.9/63.5;38.9;143.9;69.4;256;10.0;204.0/4.7;3167;85;99.0/100.0;96.2/98.3;0.01;;
Armenia;WesternAsia;29743;2930;102.9;88.8;10529;3.0;3489.1;19.0;44283;52.8;35.0;44392;49.3;44363;55.3/74.2;135;135;1776;3230;-1455;-279;0.3;62.7;-0.1;44348;77.0/70.6;20.0/16.9;191.2/6.3;44274;44240;44320;44410;44410;98.5/98.5;89.0/88.1;46.9/41.6;44448;115.2;58.2;114;44388;5.5/1.8;48;46;100.0/100.0;96.2/78.2;42795;;
